Word,MorphStatus,Lang,ImmSA,ImmAllo,FlatClass,FlatSA,Flat,Class,SylCnt,StrsPat
above-named,Z,,S,N,PV,SF,above[P][B]+named[V][A][N],N,3,xx1
abracadabra,Z,,S,N,I,S,abracadabra[I][N],N,5,xxx1x
abracadabra,I,,,,,,,I,5,xxx1x
abrade,R,,,,,,,V,2,x1
abrasion,C,,SA,N,Vx,SA,abrade[V]+ion[N|V.][N],N,3,x1x
abrasive,Z,,S,N,Vxx,SAA,abrade[V]+ion[N|V.][N]+ive[A|N.][A][N],N,3,x1x
abrasive,C,,SA,N,Vxx,SAA,abrade[V]+ion[N|V.][N]+ive[A|N.][A],A,3,x1x
abrasively,C,,SA,N,Vxxx,SAAA,abrade[V]+ion[N|V.][N]+ive[A|N.][A]+ly[B|A.][B],ADV,4,x1xx
abreast,C,,AS,N,xN,AS,a[B|.N]+breast[N][B],ADV,2,x1
abridge,O,,,,,,,V,2,x1
abridgment,C,,SA,N,Vx,SA,abridge[V]+ment[N|V.][N],N,3,x1x
abroad,C,,AS,N,xA,AS,a[B|.A]+broad[A][B],ADV,2,x1
abrogate,O,,,,,,,V,3,1xx
abrogation,C,,SA,N,Vx,SA,abrogate[V]+ion[N|V.][N],N,4,xx1x
abrupt,R,,,,,,,A,2,x1
abruptly,C,,SA,N,Ax,SA,abrupt[A]+ly[B|A.][B],ADV,3,x1x
abruptness,C,,SA,N,Ax,SA,abrupt[A]+ness[N|A.][N],N,3,x1x
abscess,R,,,,,,,N,2,1x
abscond,R,,,,,,,V,2,x1
absence,C,,SA,N,Ax,SA,absent[A]+ence[N|A.][N],N,2,1x
absence of mind,I,,,,,,,N,4,xxx1
absent,Z,,S,N,A,S,absent[A][V],V,2,x1
absent,R,,,,,,,A,2,1x
absentee,C,,SA,N,Ax,SA,absent[A]+ee[N|A.][N],N,3,xx1
absenteeism,C,,SA,N,Axx,SAA,absent[A]+ee[N|A.][N]+ism[N|N.][N],N,5,xx1xx
absently,C,,SA,N,Ax,SA,absent[A]+ly[B|A.][B],ADV,3,1xx
absent-minded,C,,SSA,N,ANx,SSA,absent[A]+mind[N]+ed[A|AN.][A],A,4,xx1x
absent-mindedly,C,,SA,N,ANxx,SSAA,absent[A]+mind[N]+ed[A|AN.][A]+ly[B|A.][B],ADV,5,xx1xx
absent-mindedness,C,,SA,N,ANxx,SSAA,absent[A]+mind[N]+ed[A|AN.][A]+ness[N|A.][N],N,5,xx1xx
absinth,M,,S,N,N,S,absinth[N],N,2,1x
absolute,R,,,,,,,A,3,1xx
absolutely,C,,SA,N,Ax,SA,absolute[A]+ly[B|A.][B],ADV,4,1xxx
absoluteness,C,,SA,N,Ax,SA,absolute[A]+ness[N|A.][N],N,4,1xxx
absolute zero,C,,SS,N,AN,SS,absolute[A]+zero[N][N],N,5,1xxxx
absolution,C,,SA,N,Vx,SA,absolve[V]+ution[N|V.][N],N,4,xx1x
absolutism,C,,SA,N,Ax,SA,absolute[A]+ism[N|A.][N],N,5,1xxxx
absolve,R,,,,,,,V,2,x1
absorb,R,,,,,,,V,2,x1
absorbent,Z,,S,N,Vx,SA,absorb[V]+ent[A|V.][A][N],N,3,x1x
absorbent,C,,SA,N,Vx,SA,absorb[V]+ent[A|V.][A],A,3,x1x
absorbing,Z,,F,N,V,F,absorbing[V][A],A,3,x1x
absorption,C,,SA,N,Vx,SA,absorb[V]+ion[N|V.][N],N,3,x1x
abstain,R,,,,,,,V,2,x1
abstainer,C,,SA,N,Vx,SA,abstain[V]+er[N|V.][N],N,3,x1x
abstemious,O,,,,,,,A,3,x1x
abstemiously,C,,SA,N,Ax,SA,abstemious[A]+ly[B|A.][B],ADV,4,x1xx
abstemiousness,C,,SA,N,Ax,SA,abstemious[A]+ness[N|A.][N],N,4,x1xx
abstention,C,,SA,D,Vx,SA,abstain[V]+ion[N|V.][N],N,3,x1x
abstinence,C,,SA,N,Vxx,SAA,abstain[V]+ent[A|V.][A]+ence[N|A.][N],N,3,1xx
abstinent,C,,SA,D,Vx,SA,abstain[V]+ent[A|V.][A],A,3,1xx
abstract,Z,,S,N,A,S,abstract[A][N],N,2,1x
abstract,Z,,S,N,A,S,abstract[A][V],V,2,x1
abstract,Z,,S,N,A,S,abstract[A][V],V,2,1x
abstract,R,,,,,,,A,2,1x
abstracted,Z,,F,N,V,F,abstracted[V][A],A,3,x1x
abstractedly,C,,SA,N,Vx,FA,abstracted[V][A]+ly[B|A.][B],ADV,4,x1xx
abstraction,C,,SA,N,Ax,SA,abstract[A][V]+ion[N|V.][N],N,3,x1x
abstruse,R,,,,,,,A,2,x1
abstrusely,C,,SA,N,Ax,SA,abstruse[A]+ly[B|A.][B],ADV,3,x1x
abstruseness,C,,SA,N,Ax,SA,abstruse[A]+ness[N|A.][N],N,3,x1x
absurd,R,,,,,,,A,2,x1
absurdity,C,,SA,N,Ax,SA,absurd[A]+ity[N|A.][N],N,4,x1xx
absurdly,C,,SA,N,Ax,SA,absurd[A]+ly[B|A.][B],ADV,3,x1x
abundance,C,,SA,N,Vxx,SAA,abound[V]+ant[A|V.][A]+ance[N|A.][N],N,3,x1x
abundant,C,,SA,D,Vx,SA,abound[V]+ant[A|V.][A],A,3,x1x
abundantly,C,,SA,N,Vxx,SAA,abound[V]+ant[A|V.][A]+ly[B|A.][B],ADV,4,x1xx
abuse,Z,,S,N,xV,AS,ab[V|.V]+use[V][V][N],N,2,x1
abuse,C,,AS,N,xV,AS,ab[V|.V]+use[V][V],V,2,x1
abusive,C,,SA,N,xVx,ASA,ab[V|.V]+use[V][V][N]+ive[A|N.][A],A,3,x1x
abusively,C,,SA,N,xVxx,ASAA,ab[V|.V]+use[V][V][N]+ive[A|N.][A]+ly[B|A.][B],ADV,4,x1xx
abutment,C,,SA,N,Vx,SA,abut on[V]+ment[N|V.][N],N,3,x1x
abut on,O,,,,,,,V,3,x1x
abysmal,O,,,,,,,A,3,x1x
abysmally,C,,SA,N,Ax,SA,abysmal[A]+ly[B|A.][B],ADV,4,x1xx
abyss,R,,,,,,,N,2,x1
A/C,I,,,,,,,,2,x1
acacia,R,,,,,,,N,3,x1x
academic,Z,,S,N,Nx,SA,academy[N]+ic[A|N.][A][N],N,4,xx1x
academic,C,,SA,N,Nx,SA,academy[N]+ic[A|N.][A],A,4,xx1x
academically,C,,SA,N,Nxx,SAA,academy[N]+ic[A|N.][A]+ally[B|A.][B],ADV,6,xx1xxx
academicals,C,,SAA,N,Nxx,SAA,academy[N]+ical[N|N.x]+s[N|Nx.][N],N,5,xx1xx
academician,C,,SA,N,Nx,SA,academy[N]+ician[N|N.][N],N,5,xxx1x
academy,O,,,,,,,N,4,x1xx
acc.,I,,,,,,,,3,xx1
accede,R,,,,,,,V,2,x1
accelerando,Z,,S,N,A,S,accelerando[A][N],N,5,xxx1x
accelerando,U,,,,,,,A,5,xxx1x
accelerando,Z,,S,N,A,S,accelerando[A][B],ADV,5,xxx1x
accelerate,O,,,,,,,V,4,x1xx
acceleration,C,,SA,N,Vx,SA,accelerate[V]+ion[N|V.][N],N,5,xxx1x
accelerator,C,,SA,N,Vx,SA,accelerate[V]+or[N|V.][N],N,5,x1xxx
accent,R,,,,,,,N,2,1x
accent,Z,,S,N,N,S,accent[N][V],V,2,x1
accentuate,C,,SA,N,Nx,SA,accent[N]+ate[V|N.][V],V,4,x1xx
accentuation,C,,SA,N,Nxx,SAA,accent[N]+ate[V|N.][V]+ion[N|V.][N],N,5,xxx1x
accept,R,,,,,,,V,2,x1
acceptability,C,,SA,N,Vxx,SAA,accept[V]+able[A|V.][A]+ity[N|A.][N],N,6,xxx1xx
acceptable,C,,SA,N,Vx,SA,accept[V]+able[A|V.][A],A,4,x1xx
acceptably,C,,SA,N,Vxx,SAA,accept[V]+able[A|V.][A]+ly[B|A.][B],ADV,4,x1xx
acceptance,C,,SA,N,Vx,SA,accept[V]+ance[N|V.][N],N,3,x1x
acceptation,C,,SA,N,Vx,SA,accept[V]+ation[N|V.][N],N,4,xx1x
access,R,,,,,,,N,2,1x
accessibility,C,,SA,N,Nxx,SAA,access[N]+ible[A|N.][A]+ity[N|A.][N],N,6,xxx1xx
accessible,C,,SA,N,Nx,SA,access[N]+ible[A|N.][A],A,4,x1xx
accession,C,,SA,N,Vx,SA,accede[V]+ion[N|V.][N],N,3,x1x
accessory,C,,SA,N,Nx,SA,access[N]+ory[N|N.][N],N,4,x1xx
accidence,C,,SA,N,Nx,SA,accident[N]+ence[N|N.][N],N,3,1xx
accident,R,,,,,,,N,3,1xx
accidental,C,,SA,N,Nx,SA,accident[N]+al[A|N.][A],A,4,xx1x
accidentally,C,,SA,N,Nxx,SAA,accident[N]+al[A|N.][A]+ly[B|A.][B],ADV,5,xx1xx
accident-prone,C,,SS,N,NA,SS,accident[N]+prone[A][A],A,4,1xxx
acclaim,Z,,S,N,xV,AS,ac[V|.V]+claim[V][V][N],N,2,x1
acclaim,C,,AS,N,xV,AS,ac[V|.V]+claim[V][V],V,2,x1
acclamation,C,,SA,D,xVx,ASA,ac[V|.V]+claim[V][V]+ation[N|V.][N],N,4,xx1x
acclimate,C,,AS,N,xN,AS,ac[V|.N]+climate[N][V],V,3,1xx
acclimation,C,,SA,N,xNx,ASA,ac[V|.N]+climate[N][V]+ion[N|V.][N],N,4,xx1x
acclimatization,C,,SA,N,xNxx,ASAA,ac[V|.Nx]+climate[N]+ize[V|xN.][V]+ation[N|V.][N],N,6,xxxx1x
acclimatize,C,,ASA,N,xNx,ASA,ac[V|.Nx]+climate[N]+ize[V|xN.][V],V,4,x1xx
acclivity,O,,,,,,,N,4,x1xx
accolade,O,,,,,,,N,3,1xx
accommodate,O,,,,,,,V,4,x1xx
accommodating,Z,,F,N,V,F,accommodating[V][A],A,5,x1xxx
accommodatingly,C,,SA,N,Vx,FA,accommodating[V][A]+ly[B|A.][B],ADV,6,x1xxxx
accommodation,C,,SA,N,Vx,SA,accommodate[V]+ion[N|V.][N],N,5,xxx1x
accommodations,Z,A,F,N,N,F,accommodations[N][N],N,5,xxx1x
accompaniment,C,,SA,N,xNx,ASA,ac[V|.N]+company[N][V]+ment[N|V.][N],N,5,x1xxx
accompanist,C,,SA,N,xNx,ASA,ac[V|.N]+company[N][V]+ist[N|V.][N],N,4,x1xx
accompany,C,,AS,N,xN,AS,ac[V|.N]+company[N][V],V,4,x1xx
accomplice,R,,,,,,,N,3,x1x
accomplish,R,,,,,,,V,3,x1x
accomplished,Z,,F,N,V,F,accomplished[V][A],A,3,x1x
accomplished fact,C,,FS,N,VN,FS,accomplished[V]+fact[N][N],N,4,xxx1
accomplishment,C,,SA,N,Vx,SA,accomplish[V]+ment[N|V.][N],N,4,x1xx
accord,Z,,S,N,V,S,accord[V][N],N,2,x1
accord,M,,S,N,V,S,accord[V],V,2,x1
accordance,C,,SA,N,Vx,SA,accord[V]+ance[N|V.][N],N,3,x1x
according as,C,,FS,N,VC,FS,according[V]+as[C][C],C,4,x1xx
accordingly,C,,SAA,N,Vxx,SAA,accord[V]+ing[B|V.x]+ly[B|Vx.][B],ADV,4,x1xx
according to,C,,FS,N,VP,FS,according[V]+to[P][P],PREP,4,x1xx
accordion,C,,SA,N,Vx,SA,accord[V]+ion[N|V.][N],N,3,x1x
accost,M,,S,N,V,S,accost[V],V,2,x1
accouchement,U,,,,,,,N,3,x1x
account,Z,,S,N,V,S,account[V][N],N,2,x1
account,M,,S,N,V,S,account[V],V,2,x1
accountable,C,,SA,N,Vx,SA,account[V]+able[A|V.][A],A,4,x1xx
accountably,C,,SA,N,Vxx,SAA,account[V]+able[A|V.][A]+ly[B|A.][B],ADV,4,x1xx
accountancy,C,,SA,N,Vxx,SAA,account[V]+ant[N|V.][N]+ancy[N|N.][N],N,4,x1xx
accountant,C,,SA,N,Vx,SA,account[V]+ant[N|V.][N],N,3,x1x
account for,C,,SS,N,VP,SS,account[V]+for[P][V],V,3,x1x
accoutrements,R,,,,,,,N,4,x1xx
accredit,C,,AS,N,xN,AS,ac[V|.N]+credit[N][V],V,3,x1x
accredited,Z,,F,N,V,F,accredited[V][A],A,4,x1xx
accrete,M,,S,N,V,S,accrete[V],V,2,x1
accretion,C,,SA,N,Vx,SA,accrete[V]+ion[N|V.][N],N,3,x1x
accrue,M,,S,N,V,S,accrue[V],V,2,x1
accumulate,O,,,,,,,V,4,x1xx
accumulation,C,,SA,N,Vx,SA,accumulate[V]+ion[N|V.][N],N,5,xxx1x
accumulative,C,,SA,N,Vxx,SAA,accumulate[V]+ion[N|V.][N]+ive[A|N.][A],A,5,x1xxx
accumulatively,C,,SA,N,Vxxx,SAAA,accumulate[V]+ion[N|V.][N]+ive[A|N.][A]+ly[B|A.][B],ADV,6,x1xxxx
accumulator,C,,SA,N,Vx,SA,accumulate[V]+or[N|V.][N],N,5,x1xxx
accuracy,C,,SA,N,Ax,SA,accurate[A]+cy[N|A.][N],N,4,1xxx
accurate,R,,,,,,,A,3,1xx
accurately,C,,SA,N,Ax,SA,accurate[A]+ly[B|A.][B],ADV,4,1xxx
