Word,OccurTotal,OccurNum,Rating.Mean,Rating.SD,Frequency
tired,21,21,4.62,2.58,5745
murder,19,19,8.79,2.78,5717
road,20,20,4.55,2.44,5709
eye,20,20,3.75,1.71,5701
explain,18,18,6.5,1.72,5670
secret,18,18,5.39,1.94,5585
wear,19,19,4.63,2.43,5576
act,19,19,6.42,2.22,5565
careful,1925,1925,5.09,2.25,5550
quick,19,19,5.89,2.16,5542
handle,20,20,6.3,2.75,5529
pass,18,18,5.39,1.65,5514
report,20,20,6.6,1.82,5508
state,18,18,6.39,2.59,5500
busy,21,21,5.95,1.94,5433
table,18,18,4.39,2.12,5387
wake,19,19,5.63,3.93,5366
ball,21,21,2.9,1.22,5353
major,20,20,8.8,3.32,5343
mouth,19,19,3.58,1.43,5325
marry,18,18,5.83,2.43,5322
fault,18,18,6.94,2.84,5310
lunch,18,18,3.61,1.69,5310
lieutenant,18,18,9.5,2.43,5306
expect,20,20,8.7,2.81,5299
mama,19,19,1.89,1.29,5289
future,19,19,7.16,2.67,5278
paper,18,18,4,1.28,5271
officer,18,18,6.5,3.38,5265
hotel,19,19,6.05,1.99,5264
buddy,19,19,5.37,2.09,5247
agent,20,20,9.55,2.84,5235
blue,19,19,3.53,1.68,5222
mistake,18,18,5.78,1.73,5200
wedding,19,19,6,2.38,5173
clothes,18,18,3.11,1.41,5158
weird,18,18,5.61,1.75,5156
court,18,18,8.39,2.62,5137
floor,19,18,4.44,1.98,5132
building,19,19,6.16,2.48,5078
earth,19,19,5.37,1.26,5074
dude,19,19,7.89,2.83,5071
finish,19,19,6.32,2.45,5045
ship,18,18,5.33,2.06,5043
club,19,19,5.89,2.56,5038
attention,19,18,6.78,2.02,5032
pain,19,19,4.26,1.52,4995
sing,19,19,3.47,1.31,4977
blow,21,21,4,1.76,4976
choice,18,18,5.17,1.79,4975
birthday,20,20,2.85,0.99,4958
stick,18,18,3.89,1.57,4953
relax,18,18,7.11,1.97,4936
honor,19,18,7.89,2.42,4912
colonel,1922,1890,9.62,2.94,4909
smart,18,18,5.5,1.86,4909
boat,19,19,3.84,1.46,4885
plane,19,19,4.95,2.3,4872
month,19,19,5.79,1.51,4854
lovely,19,19,7.26,2.96,4853
