"word","morphs","pos","lexdec","aoa","conc","freq"
"casework",2,"NN",692,13.25,3.03,3
"cookbook",2,"NN",667.9,7.22,4.9,37
"coven",1,"NN",706.18,12.4,3.68,30
"beautiful",2,"JJ",700.57,5.72,2.16,14266
"gutless",2,"JJ",833.81,11.17,1.75,53
"scope",1,"NN",610.44,9.83,3.74,286
"wrecker",2,"NN",718.06,10.71,4.29,26
"considerate",2,"JJ",888.15,8.22,1.92,175
"enchanter",2,"NN",794.7,11.88,2.69,1
"benevolent",3,"JJ",774.48,14,1.44,37
"commandant",3,"NN",852.58,11.72,3.77,131
"catsup",1,"NN",792.48,6.65,4.85,3
"fleet",1,"NN",674.78,10.74,3.81,540
"shortness",2,"NN",723.27,8.11,3.14,43
"yearling",2,"NN",725.65,11.32,3.92,12
"ghetto",1,"NN",643,10.15,3.82,282
"spa",1,"NN",669.03,11.06,4.67,239
"articulate",2,"JJ",864.88,13,2.2,85
"recount",2,"NN",662.28,8.84,2.26,37
"graven",2,"JJ",763.18,12.47,2.24,6
"commend",1,"VB",696.94,10.81,2.14,91
"proximity",2,"NN",738.72,12.26,2.93,84
"bookseller",3,"NN",719.03,7.37,4.43,5
"roulette",1,"NN",835.55,12.82,4.15,126
"wondrous",2,"JJ",842.08,11,1.46,83
"hairless",2,"JJ",771.19,8.67,4.52,30
"tuberculosis",1,"NN",773.74,12.11,3.62,32
"guy",1,"NN",587.71,4.11,4.68,38893
"angst",1,"NN",689.21,13.12,1.96,47
"specialist",2,"NN",683,10.05,3,264
"dustpan",2,"NN",807.26,6.47,5,13
"dot",1,"NN",599,4.33,4.12,338
"derail",2,"VB",825.74,10.67,3.55,29
"smallness",2,"NN",757.91,6.47,2.2,2
"unscientific",4,"JJ",1000.74,11.75,1.96,11
"successor",3,"NN",672.45,12.24,3.29,85
"esteemed",2,"VB",779.97,13.11,1.96,75
"excusable",2,"JJ",967.27,9.37,2,7
"tempestuous",2,"JJ",964.7,15.33,1.92,12
"galactic",1,"JJ",817.52,10.29,2.57,56
"unwilling",3,"JJ",730.39,8.61,1.61,59
"gangster",2,"NN",722.32,8.5,3.93,272
"pave",1,"VB",767,8.37,4.03,20
"recourse",1,"NN",829.27,13.35,2,38
"lacerate",1,"VB",798.25,10.6,3.63,1
"waterfront",2,"NN",694.97,8.22,4.67,53
"fragmentation",2,"NN",824.59,13.61,2.44,7
"dubious",2,"JJ",789.07,12.19,1.52,73
"rainstorm",2,"NN",747.61,4.44,4.86,41
"incarnate",3,"JJ",807.97,12.72,2.11,22
"fragment",1,"NN",659.94,11.53,4.1,96
"counterespionage",2,"NN",1168.17,12.79,2.17,8
"crisis",2,"NN",626.64,9,2.33,849
"mechanism",2,"NN",695.45,10.61,3.67,190
"inhabitant",3,"NN",781.03,9.6,3.32,8
"whim",1,"NN",699.38,10.74,1.69,119
"sufferer",2,"NN",760.74,9.26,3.13,4
"persecutor",3,"NN",884.56,11.95,3.7,4
"sonic",2,"JJ",623.13,11,2.29,99
"emancipate",2,"VB",933,12.21,2.29,8
"cigarette",2,"NN",651.64,6.39,4.88,1357
"ravioli",1,"NN",896.69,6.58,4.89,35
"antagonism",2,"NN",946.33,11.81,2.33,11
"repulsive",3,"JJ",707.36,10.32,2.11,103
"gadgetry",2,"NN",958.67,11.17,3.52,3
"pilgrimage",2,"NN",938.63,10.5,2.15,58
"religion",2,"NN",663.76,7.06,1.71,707
"matinee",2,"NN",861.9,9.56,3.78,58
"enviable",2,"JJ",876.45,12.53,2.04,11
"pigmentation",2,"NN",1052.19,12.39,3.63,16
"turbulence",2,"NN",748.94,11.47,3.57,99
"apparel",1,"NN",673.5,10.8,4.6,35
"variability",3,"NN",923.06,12.58,1.88,2
"vision",2,"NN",598.74,6.58,3.39,1218
"commando",3,"NN",779.48,11.32,3.9,54
"maturity",2,"NN",763.21,10.58,1.81,102
"mandatory",3,"JJ",685.25,8.95,2.24,126
"repossess",2,"VB",846.82,13,2.77,20
"intoxication",5,"NN",708.06,11.33,3,19
"glisten",1,"VB",768.93,9.21,3.52,22
"bestiality",3,"NN",971.43,15.28,2.75,18
"emperor",1,"NN",781.93,7.44,4.35,690
"disrepute",3,"NN",1089.08,12.62,1.65,7
"horror",1,"NN",588.91,7.58,2.5,468
"appropriateness",4,"NN",1178.23,10.44,2.07,2
"convene",2,"VB",900.42,12.95,2.79,39
"solidify",2,"VB",796.16,11.26,3.16,10
"horde",1,"NN",696.08,10.58,3.7,58
"unsure",2,"JJ",647.38,8.32,2,52
"trophy",1,"NN",663.88,5.55,4.89,385
"redskin",2,"NN",620.27,10.32,3.85,13
"institutionalization",6,"NN",1075.07,13.44,2.35,1
"goo",1,"NN",938.9,5.53,3.54,109
"malevolence",3,"NN",869.78,12.74,2,6
"importation",3,"NN",1063.93,12.19,2.81,4
"grassy",2,"JJ",763,6.33,4.32,32
"congruent",2,"JJ",817,13.89,2.74,9
"cargo",1,"NN",659.69,9.48,4.62,459
"overexpose",3,"VB",850.58,12.17,2.96,1
"lottery",1,"NN",595.97,9.33,4.19,344
"stenographer",3,"NN",950.59,13.5,4.3,41
"fortune",1,"NN",654.85,9.05,2.9,1518
"sackcloth",2,"NN",961.65,11.46,4.65,8
"discuss",1,"VB",728.47,7.89,3.17,2329
"derivation",2,"NN",864.67,14.22,1.86,13
"blasphemer",2,"NN",859.76,13.59,2.58,14
"status",1,"NN",696.42,11.63,2.24,750
"inappropriate",4,"JJ",814.39,10.16,1.59,338
"hatless",2,"JJ",905.16,8.29,3.56,2
"demonstrative",4,"JJ",963.03,11.63,2.3,18
"noodle",1,"NN",697.21,3.44,4.71,148
"body",1,"NN",577.58,4.28,4.79,9972
"agitator",2,"NN",838.96,11.84,3.28,11
"maternal",2,"JJ",747.42,11.22,2.42,75
"insufferable",3,"JJ",866.07,11.89,1.54,49
"yearn",1,"VB",739.91,11.65,1.76,49
"striker",2,"NN",609.61,9.17,3.73,108
